ID,Titulo,Empresa,Area,Nivel,Cidade,Estado,Modalidade,Tipo_Contrato,Salario_Min,Salario_Max,Experiencia_Min_Anos,Requisitos,Beneficios,Descricao,Data_Publicacao,Vagas_Disponiveis,Link_Inscricao
11,Especialista em ML Gerente,OmniTechnologies,Machine Learning,Gerente,São Gonçalo,RJ,Remoto,Trainee,13174,14456,7,"Python, NLP, Resolução de problemas, Gerenciamento de conflitos, GCP, PyTorch, TensorFlow, Persuasão, Scrum, Scikit-Learn","Vale-Refeição, Vale-Transporte, Plano de Saúde","Nulla ab illo earum nihil. Labore cumque amet. Similique animi totam illum blanditiis.
Distinctio hic laudantium ab quasi placeat. Numquam quam veritatis cumque est. Consequuntur exercitationem pariatur.
Cumque ad hic natus dolorem quo. Iusto iste veniam laboriosam adipisci numquam.
Modi doloribus perferendis veniam ratione vitae eius. Accusamus vel at enim illo iste.
Eveniet nobis provident nemo cupiditate. Aperiam dolorum dolorum nobis reiciendis aut.",08/12/2024,2,https://carreiras.omnitechnologies.com.br/vaga/11
12,SysAdmin Especialista,InnoTech,Administração de Sistemas,Especialista,Belém,PA,Presencial,CLT,14898,18117,7,"Linux, Adaptabilidade, Vue.js, Resiliência, PowerShell, Oracle, Resolução de problemas, Pensamento crítico, Cybersecurity, Active Directory","Vale-Refeição, Vale-Transporte, Plano de Saúde, Seguro de Vida, Bônus Anual","Quam quo atque non esse. Maxime aliquid assumenda culpa assumenda alias assumenda.
Provident dolores pariatur. Delectus ipsum possimus et officiis exercitationem. Vitae quibusdam aut quod. Dolorum debitis voluptate.
Voluptatum amet delectus incidunt inventore. Est in nostrum sed. Rem atque similique illum nam non in.
Accusantium mollitia at eligendi fuga. Consectetur esse soluta voluptas. Voluptatibus rem placeat. Expedita ullam magnam pariatur repudiandae occaecati maiores.",21/02/2024,2,https://carreiras.innotech.com.br/vaga/12
13,Desenvolvedor Full-Stack Júnior,NextSystems,Desenvolvimento Full-Stack,Júnior,Brasília,DF,Presencial,CLT,3619,12508,0,"C++, DevOps, Node.js, Mentalidade de crescimento, PHP, Trabalho em equipe, MongoDB, Git, React, Liderança","Vale-Refeição, Vale-Transporte, Plano de Saúde, Seguro de Vida, Bônus Anual","Impedit exercitationem in odit. Cum possimus adipisci repudiandae laboriosam aliquam doloremque delectus.
Vitae debitis enim expedita. Ab adipisci ipsa.
Facilis consectetur mollitia repellat sed fugit rerum consectetur. Quae deleniti perspiciatis quam odio similique. Voluptas quod dolores exercitationem id fugiat.
Adipisci aliquid dolore placeat occaecati aperiam soluta facilis. Facilis dolorem eum fugit eos asperiores.",26/09/2023,2,https://carreiras.nextsystems.com.br/vaga/13
14,Engenheiro Full-Stack Júnior,SilverStream Inc.,Desenvolvimento Full-Stack,Júnior,Teresina,PI,Presencial,PJ,18376,19556,0,"Azure, Node.js, Gestão de tempo, Organização, Ruby, Inteligência emocional, Oracle, TypeScript, MongoDB, REST API, Git, Adaptabilidade","Vale-Refeição, Vale-Transporte, Plano de Saúde","Mollitia similique autem cumque quibusdam. Quaerat explicabo doloribus necessitatibus.
Eaque error excepturi possimus. Ipsa delectus quis labore dicta.
Odio ea quisquam atque. Vitae sapiente cum libero deleniti. Eum sint velit qui illo fuga sunt.
Reiciendis nam a laboriosam. Atque nobis quam nobis vitae similique. A illo consectetur maiores.
Ea dolores reiciendis animi placeat autem enim consectetur. Exercitationem esse tempore ab earum.",16/12/2023,3,https://carreiras.silverstreaminc.com.br/vaga/14
15,Pentester Gerente,SecureNet S.A.,Segurança da Informação,Gerente,Rio de Janeiro,RJ,Remoto,CLT,6916,15464,9,"Tomada de decisão, Resiliência, Kotlin, Análise de Vulnerabilidades, Spark, C#, Flask, Redis, Pentest","Vale-Refeição, Vale-Transporte, Plano de Saúde, Seguro de Vida, Bônus Anual","Illo possimus iure. Error delectus quasi corporis omnis a. Voluptatibus laboriosam facere consequatur explicabo cumque optio asperiores.
Ipsam quae necessitatibus nisi mollitia in. In nobis magnam nobis aperiam minima. Voluptates cumque eum distinctio illum.
Id doloribus consequatur dolorem in voluptatem. Animi cumque iure. Deserunt consequuntur beatae veniam quisquam nobis eius quos.
Voluptate iusto saepe rem. Nesciunt nihil iste sed optio numquam reiciendis.",28/05/2024,4,https://carreiras.securenetsa.com.br/vaga/15
16,Administrador de Banco de Dados Diretor,ByteWise Tech,Banco de Dados,Diretor,Rio de Janeiro,RJ,Presencial,Temporário,6907,16665,3,"Modelagem de Dados, Tomada de decisão, Organização, PostgreSQL, Oracle, SQL, PyTorch, MongoDB, Django","Vale-Refeição, Vale-Transporte, Plano de Saúde","Porro natus libero minima.
Nemo molestiae aperiam tenetur minima mollitia.
Odit similique eligendi ad laudantium. Fugiat at fugit quisquam odio at. Aut perspiciatis sit vitae quo totam laborum aut.
Libero quod ex architecto cumque provident. Inventore ipsum perspiciatis ex quod. Quas nesciunt nihil suscipit. A nulla eaque delectus explicabo animi.
Quae quisquam at atque mollitia. Quas repellat libero.",13/02/2024,1,https://carreiras.bytewisetech.com.br/vaga/16
17,Desenvolvedor Android Especialista,PrimeSystems,Desenvolvimento Mobile,Especialista,Fortaleza,CE,Híbrido,Temporário,14975,23610,5,"Linux, Flutter, Negociação, Swift, React Native, Kotlin, Persuasão, Scrum","Vale-Refeição, Vale-Transporte, Plano de Saúde","Culpa adipisci voluptates. Fugiat ea nihil maxime. Soluta voluptatibus ut eius ducimus corporis consequatur.
Eos officia nulla ipsam aut eos unde. Explicabo ad minima cupiditate voluptates dolorem.
Illum mollitia quas rerum eius.
Adipisci repellat architecto. Quam amet doloribus libero perspiciatis ab ratione.
Quam odio recusandae ea quis voluptatum. Adipisci dolores rerum in hic eligendi.",13/03/2024,3,https://carreiras.primesystems.com.br/vaga/17
18,SRE Pleno,CyberDigital,DevOps,Pleno,Duque de Caxias,RJ,Remoto,Trainee,12381,21730,9,"Azure, Python, Linux, Networking, Agile, Resiliência, GCP, Comunicação, Trabalho em equipe, Kubernetes, Jenkins, Hadoop, React","Vale-Refeição, Vale-Transporte, Plano de Saúde","Maiores cum aut maxime. Consectetur ad porro aliquam in.
Quas neque velit harum dolor. Ut quas eius tenetur.
Reprehenderit mollitia veritatis ipsa doloribus. Minima sequi nulla tempore perferendis. Quas exercitationem cumque nisi.
Hic doloremque corrupti ut recusandae. Corrupti cum tempore rem fuga cum.
Iure molestias debitis quasi culpa. Doloribus vitae nam. Totam dolorem ullam blanditiis praesentium soluta veniam possimus. Provident necessitatibus eligendi adipisci eum fuga.",09/12/2024,3,https://carreiras.cyberdigital.com.br/vaga/18
19,Desenvolvedor Full-Stack Pleno,SmartByte Soluções,Desenvolvimento Full-Stack,Pleno,Maceió,AL,Presencial,Trainee,17954,19565,10,"Python, Linux, Node.js, Network Security, Flask, Pensamento crítico, TensorFlow, REST API, Liderança","Vale-Refeição, Vale-Transporte, Plano de Saúde","Dolores temporibus labore itaque voluptatibus ullam. Quae minima in excepturi.
Placeat repellat sit odit similique labore.
Vel distinctio ullam necessitatibus perspiciatis. Maxime eos repellat culpa.
Itaque eum corrupti tempore. Commodi unde atque error. Ea voluptas nemo ipsum itaque consequuntur explicabo. Ex unde ad suscipit natus sapiente.
Accusamus facere quasi voluptas rerum repudiandae. Magnam ea ratione optio. Mollitia saepe itaque nihil aperiam neque dolorem.",07/10/2024,3,https://carreiras.smartbytesoluções.com.br/vaga/19
20,Desenvolvedor Blockchain Pleno,LogicSystems,Blockchain,Pleno,Rio de Janeiro,RJ,Remoto,PJ,4109,11765,5,"Criptografia, Liderança, Negociação, Feedback construtivo, MySQL, PostgreSQL, Redis, Git, React, Smart Contracts","Vale-Refeição, Vale-Transporte, Plano de Saúde","Mollitia aspernatur recusandae ut deleniti sapiente id. Autem nobis voluptas et. Quos quas debitis sed iste exercitationem.
Quas fuga aut iste libero aliquid. Mollitia harum temporibus assumenda cumque. In autem iure alias deleniti provident facere.
Est dolores ad eveniet deleniti dignissimos. Alias voluptate deleniti rerum corporis id illo.
Unde deleniti possimus hic cum. Nulla corporis ducimus non expedita doloribus. Consectetur perferendis dolor eos.",07/05/2024,1,https://carreiras.logicsystems.com.br/vaga/20
21,Técnico de Suporte Júnior,NeoNetworks Ltda.,Suporte Técnico,Júnior,Belo Horizonte,MG,Remoto,Trainee,13700,23344,0,"Java, Power BI, Linux, Troubleshooting, Feedback construtivo, Empatia, Inteligência emocional, Pensamento crítico","Vale-Refeição, Vale-Transporte, Plano de Saúde, Seguro de Vida, Bônus Anual","Aliquid voluptatem quo perspiciatis. Eligendi reprehenderit culpa ea fuga sint.
Magni eligendi distinctio atque. Quo iste quisquam officiis hic quidem totam nulla. Est sunt ratione omnis repudiandae neque aspernatur.
Veritatis reiciendis eveniet expedita natus. Non nemo ex tempora fugiat ea laborum.
Dolorum cum repudiandae nesciunt voluptas ea. Magnam veritatis voluptates totam harum dolorum. Enim ipsum dignissimos reprehenderit labore.",16/09/2023,5,https://carreiras.neonetworksltda.com.br/vaga/21
22,Engenheiro DevOps Diretor,SilverStream Tech,DevOps,Diretor,Florianópolis,SC,Remoto,Trainee,11458,14857,9,"Terraform, Docker, Spark, Oracle, Tableau, CI/CD, Pensamento crítico, Cybersecurity, Adaptabilidade, Criatividade","Vale-Refeição, Vale-Transporte, Plano de Saúde, Seguro de Vida, Bônus Anual","Iusto inventore ea magnam reiciendis expedita unde.
Corrupti officia perferendis ad voluptates. Officia sequi amet totam facere.
Fugiat maxime voluptas optio maiores eius maiores. Expedita unde eum dolores minus aperiam soluta. Perspiciatis molestiae hic animi.
Culpa culpa cum modi consequuntur voluptates itaque. Quo eaque praesentium. Vitae ipsam cum expedita neque eaque laboriosam.",17/03/2024,1,https://carreiras.silverstreamtech.com.br/vaga/22
23,Especialista em Cloud Pleno,SmartCloud Inc.,Cloud Computing,Pleno,Brasília,DF,Remoto,Temporário,9405,12968,10,"Azure, Negociação, AWS, Resiliência, GCP, IaaS, Persuasão, Hadoop, Scrum, React, PaaS","Vale-Refeição, Vale-Transporte, Plano de Saúde","Occaecati ipsa placeat. Nostrum repudiandae sunt. Laudantium sint dolore voluptatibus dignissimos deserunt.
Occaecati suscipit voluptate laborum consequuntur recusandae iusto rem. Natus cumque dicta laborum.
Consequatur deserunt repudiandae earum consequatur aliquam deleniti. Asperiores placeat ipsum error.
Doloremque maxime inventore sint. Repellat nam quo veniam excepturi inventore esse.",20/01/2023,5,https://carreiras.smartcloudinc.com.br/vaga/23
24,Engenheiro de Cloud Sênior,SapphireCode Tecnologia,Cloud Computing,Sênior,São Paulo,SP,Híbrido,Trainee,13606,19276,4,"Spring, Tomada de decisão, SaaS, IaaS, Pensamento crítico, Scrum","Vale-Refeição, Vale-Transporte, Plano de Saúde","Ducimus a id ipsam quidem voluptatum provident. Dolorem provident consequatur. Doloribus nostrum exercitationem iure qui vel.
Reiciendis possimus modi impedit. Nostrum sed aliquid neque. Vero architecto adipisci repellendus est quos.
Culpa cumque exercitationem ullam dolor. Quasi nesciunt inventore aspernatur. Voluptates sit veniam.
Nulla repellendus quos hic reiciendis laboriosam doloremque quasi. Laudantium vel eius nulla.",28/01/2023,1,https://carreiras.sapphirecodetecnologia.com.br/vaga/24
25,Técnico de Suporte Pleno,OrangeStack Tecnologia,Suporte Técnico,Pleno,Belém,PA,Presencial,Temporário,15810,25450,7,"Azure, Linux, Troubleshooting, Node.js, Gerenciamento de conflitos, Suporte ao Usuário, C#, Liderança, Criatividade","Vale-Refeição, Vale-Transporte, Plano de Saúde","Non similique impedit fuga iusto. Cupiditate sequi qui repellat. Dignissimos laudantium dolores esse beatae neque.
Labore rerum molestiae dicta praesentium repudiandae. Qui minima hic ratione soluta dolores cum.
Nisi praesentium natus impedit dignissimos. Ratione nostrum reiciendis perferendis tenetur veniam. Omnis dolorem rem vero asperiores.
Harum nisi veritatis rem. Sequi minima odit. Velit quae eveniet blanditiis.
Voluptatum ad aut deleniti minus.",25/06/2024,2,https://carreiras.orangestacktecnologia.com.br/vaga/25
26,Engenheiro de Dados Sênior,OmniCloud Systems,Engenharia de Dados,Sênior,Campinas,SP,Híbrido,Estágio,2844,9583,8,"Python, Node.js, TensorFlow, Feedback construtivo, Ruby, Trabalho em equipe, JavaScript, ETL, SQL, Persuasão, Liderança","Vale-Refeição, Vale-Transporte, Plano de Saúde","Ipsa officiis sapiente perspiciatis similique et. Esse voluptatem molestias fugit dolor. Odit placeat cum harum ad adipisci itaque. Et excepturi aut assumenda officiis.
Iusto in nostrum ratione.
Perferendis cum voluptas consectetur minima. Voluptatem ipsum quod quod odio. Dolorem veritatis repellendus alias voluptates.
Eos sit modi cum animi. Molestias aperiam quas quisquam voluptatibus. Qui eveniet magnam vel.",20/11/2024,1,https://carreiras.omnicloudsystems.com.br/vaga/26
27,Arquiteto de Dados Júnior,FutureCompute S.A.,Engenharia de Dados,Júnior,Salvador,BA,Remoto,Temporário,5363,10732,0,"Python, Spring, Negociação, Tomada de decisão, MySQL, Airflow, Kafka, NoSQL, Tableau, SQL, Resiliência, Git, React","Vale-Refeição, Vale-Transporte, Plano de Saúde, Seguro de Vida, Bônus Anual","Odit quia quam esse nisi placeat perspiciatis.
Quasi rem laudantium dolores consectetur voluptates. Voluptate voluptas perspiciatis minus ipsum odit ipsam voluptas. Exercitationem odit deleniti a voluptas vitae harum quas.
Laudantium veritatis officiis animi esse explicabo. Doloremque earum veritatis fuga ipsa a magni. Minima voluptatibus natus veritatis architecto.
Voluptates ea quidem adipisci. Neque cum est eveniet esse vel nemo nihil. Nisi in voluptas possimus quis quisquam mollitia.",14/08/2024,2,https://carreiras.futurecomputesa.com.br/vaga/27
28,Engenheiro de Machine Learning Júnior,InnovaTech,Machine Learning,Júnior,Curitiba,PR,Presencial,Trainee,16911,23488,0,"Python, Power BI, DevOps, Negociação, Vue.js, Comunicação, Scikit-Learn, Algoritmos de ML, TensorFlow, Hadoop, React","Vale-Refeição, Vale-Transporte, Plano de Saúde, Seguro de Vida, Bônus Anual","Incidunt commodi dolor enim atque. Unde laudantium dolores assumenda at.
Deleniti voluptatibus fugit ipsum animi. Ad nesciunt officia eligendi reprehenderit. Odio temporibus eum velit sit illum recusandae.
Expedita magni pariatur modi excepturi. Magnam minus ullam temporibus iste voluptates velit. Quod natus rerum consequatur nulla.
Nostrum esse adipisci amet sint molestiae. Deleniti sed porro.
Deleniti voluptatem sunt id. Sapiente dignissimos magnam quae.",22/09/2024,4,https://carreiras.innovatech.com.br/vaga/28
29,Especialista em Inteligência Artificial Diretor,SmartCloud Tech,Inteligência Artificial,Diretor,Goiânia,GO,Presencial,Temporário,2090,11987,8,"Python, Go, NLP, Mentalidade de crescimento, GCP, Organização, Trabalho em equipe, Pensamento crítico","Vale-Refeição, Vale-Transporte, Plano de Saúde","Fugit delectus officiis facilis ipsa quod aliquam. Dicta assumenda recusandae vel. Perspiciatis reprehenderit doloremque sint unde modi.
Non dignissimos illum aliquam totam. Harum illum repellat tempora. Odit incidunt ducimus nisi cumque sint sapiente nisi. Excepturi alias nesciunt fugit quas perferendis earum.
Incidunt corporis magni quae. Optio nemo provident id aspernatur expedita.",01/11/2023,5,https://carreiras.smartcloudtech.com.br/vaga/29
30,Arquiteto de Soluções Especialista,InnoTech,Arquitetura de Software,Especialista,São Gonçalo,RJ,Híbrido,PJ,12659,17194,9,"UML, API Design, Resolução de problemas, Gestão de tempo, Feedback construtivo, PHP, Design Patterns, Trabalho em equipe, SQL, MongoDB, SOA","Vale-Refeição, Vale-Transporte, Plano de Saúde, Seguro de Vida, Bônus Anual","Exercitationem occaecati exercitationem occaecati. Excepturi magni facere natus officiis officiis. Deleniti exercitationem quas quod veniam amet voluptates animi. Explicabo sapiente fuga nam error asperiores tempora.
Nostrum blanditiis libero explicabo. Est nam tempore minima est nam nihil.
Laborum necessitatibus nemo occaecati aperiam. Maiores sequi culpa. Quam repellat fuga sequi accusamus.
Quos reprehenderit sapiente quidem doloribus. Voluptatem nemo facilis earum.",26/06/2023,2,https://carreiras.innotech.com.br/vaga/30
31,Desenvolvedor Back-end Pleno,ObsidianSystems,Desenvolvimento Web,Pleno,Campinas,SP,Híbrido,Trainee,14771,21356,1,"Angular, Negociação, Vue.js, PHP, Gerenciamento de conflitos, CSS, JavaScript, Redis, Hadoop, React","Vale-Refeição, Vale-Transporte, Plano de Saúde, Seguro de Vida, Bônus Anual","Maiores assumenda hic vero eaque inventore. Consequatur distinctio eaque quae. Cupiditate ullam repellendus voluptatum accusantium saepe.
Labore culpa voluptatum ratione aliquam. Vel rem nisi cum alias nobis ipsum sit. Cumque architecto error ullam quas corporis consequuntur.
Enim incidunt et. Omnis id corrupti quaerat assumenda nisi cumque explicabo. Laudantium nihil similique natus.
Est molestias qui ratione. Iusto pariatur corporis ullam.",25/08/2023,2,https://carreiras.obsidiansystems.com.br/vaga/31
32,Analista de Testes Sênior,TechSolutions,QA e Testes,Sênior,Natal,RN,Híbrido,Temporário,17970,21786,10,"Python, Angular, Go, Ética de trabalho, Testes de Integração, Selenium, PyTorch, Persuasão, Pensamento crítico, Criatividade","Vale-Refeição, Vale-Transporte, Plano de Saúde, Seguro de Vida, Bônus Anual","Officia ducimus eligendi itaque pariatur numquam architecto molestias. Repellat eveniet aliquam facilis.
Perspiciatis earum ab explicabo beatae. Explicabo dicta error veritatis. Dolores optio quos quae nulla ut illo cum.
Pariatur officia vel corporis distinctio dicta dolores. Doloremque quam minus commodi itaque quis. Quibusdam nesciunt at ut placeat. Repellendus incidunt laudantium facilis.
Veritatis vel repellat blanditiis enim. Quis modi eum.",03/05/2023,2,https://carreiras.techsolutions.com.br/vaga/32
33,Especialista em Internet das Coisas Sênior,NextCompute S.A.,IoT,Sênior,Natal,RN,Presencial,Temporário,19783,20802,10,"Linux, Networking, Mentalidade de crescimento, Agile, MQTT, Redis, Arduino, Raspberry Pi, Protocolos IoT, Kubernetes, Sistemas Embarcados, Scrum, Adaptabilidade, Criatividade","Vale-Refeição, Vale-Transporte, Plano de Saúde","Adipisci neque similique rem nesciunt. Fuga odio necessitatibus consequuntur corrupti. Sit omnis repudiandae ratione quasi voluptas.
Corporis accusantium corrupti nesciunt porro. Maiores voluptas esse tempore ducimus fuga. Pariatur pariatur labore magnam aliquam officia sed cupiditate.
Quis officiis labore illo. Harum odio natus temporibus.
Ratione deleniti delectus eos. Error praesentium laboriosam cupiditate magnam odit. A aliquam velit quis.",12/09/2024,5,https://carreiras.nextcomputesa.com.br/vaga/33
34,Arquiteto de Dados Pleno,TechSolutions,Engenharia de Dados,Pleno,Campinas,SP,Remoto,Temporário,3525,9450,8,"Go, Persuasão, Vue.js, ETL, MongoDB, Hadoop, Adaptabilidade, Criatividade","Vale-Refeição, Vale-Transporte, Plano de Saúde, Seguro de Vida, Bônus Anual","Laudantium at atque vitae laudantium recusandae necessitatibus. Voluptates soluta minima ea odit odit vitae. Architecto inventore qui odit maxime.
Quam dignissimos totam corrupti voluptates. Temporibus molestiae beatae culpa iusto. Quam voluptatem nesciunt accusantium porro consequuntur.
Delectus aspernatur modi aliquid harum asperiores. Optio perspiciatis necessitatibus quibusdam exercitationem.
Officia necessitatibus asperiores culpa saepe. Nihil quae nobis necessitatibus nemo.",17/07/2024,1,https://carreiras.techsolutions.com.br/vaga/34
